,Week,Date,Home Team,Away Team,Spread,Opening Spread,inter_spread_1,inter_spread_2,inter_spread_3,Home Points,Away Points,home_turnovers_won,away_turnovers_won,home_clean_breaks,away_clean_breaks,home_penalties_conceded,away_penalties_conceded,home_yellow_cards,away_yellow_cards,sin_bin,Turnover,penalties_conceded
0,-3.0,2022-03-12,Worcester_Warriors,Exeter_Chiefs,9.0,,,,,,,,,,,,,,,,,
1,-3.0,2022-03-12,Leicester_Tigers,London_Irish,-5.5,,,,,,,,,,,,,,,,,
2,-3.0,2022-03-12,Newcastle_Falcons,Saracens,10.0,,,,,,,,,,,,,,,,,
3,-3.0,2022-03-12,Sale_Sharks,Gloucester_Rugby,-8.5,,,,,,,,,,,,,,,,,
4,-3.0,2022-03-13,Bristol_Bears,Harlequins,0.5,,,,,,,,,,,,,,,,,
5,-3.0,2022-03-13,Northampton_Saints,Wasps,-0.5,,,,,,,,,,,,,,,,,
6,-3.0,2022-03-25,Gloucester_Rugby,Worcester_Warriors,-17.0,,,,,,,,,,,,,,,,,
7,-3.0,2022-03-26,Bath_Rugby,Sale_Sharks,5.0,,,,,,,,,,,,,,,,,
8,-3.0,2022-03-26,London_Irish,Northampton_Saints,-3.5,,,,,,,,,,,,,,,,,
9,-3.0,2022-03-26,Saracens,Bristol_Bears,-20.0,,,,,,,,,,,,,,,,,
10,-3.0,2022-03-26,Wasps,Newcastle_Falcons,-19.5,,,,,,,,,,,,,,,,,
11,-3.0,2022-03-27,Exeter_Chiefs,Leicester_Tigers,0.0,,,,,,,,,,,,,,,,,
12,-2.0,2022-04-01,Sale_Sharks,Saracens,2.5,,,,,,,,,,,,,,,,,
13,-2.0,2022-04-02,Exeter_Chiefs,Bath_Rugby,-13.5,,,,,,,,,,,,,,,,,
14,-2.0,2022-04-02,Gloucester_Rugby,Wasps,-4.0,,,,,,,,,,,,,,,,,
15,-2.0,2022-04-02,Northampton_Saints,Bristol_Bears,-4.5,,,,,,,,,,,,,,,,,
16,-2.0,2022-04-02,Worcester_Warriors,Newcastle_Falcons,-3.5,,,,,,,,,,,,,,,,,
17,-2.0,2022-04-03,London_Irish,Harlequins,3.5,,,,,,,,,,,,,,,,,
18,-2.0,2022-04-22,Newcastle_Falcons,London_Irish,3.5,,,,,,,,,,,,,,,0.0,0.0,0.0
19,-2.0,2022-04-22,Bristol_Bears,Gloucester_Rugby,0.5,,,,,,,,,,,,,,,0.0,0.0,0.0
20,-2.0,2022-04-23,Bath_Rugby,Northampton_Saints,0.5,,,,,,,,,,,,,,,0.0,0.0,0.0
21,-2.0,2022-04-23,Harlequins,Leicester_Tigers,-4.5,,,,,,,,,,,,,,,0.0,0.0,0.0
22,-2.0,2022-04-23,Wasps,Worcester_Warriors,-19.5,,,,,,,,,,,,,,,0.0,0.0,0.0
23,-2.0,2022-04-24,Saracens,Exeter_Chiefs,-11.0,,,,,,,,,,,,,,,0.0,0.0,0.0
24,-1.0,2022-04-29,Northampton_Saints,Harlequins,2.0,,,,,,,,,,,,,,,0.0,0.0,0.0
25,-1.0,2022-04-29,Sale_Sharks,Newcastle_Falcons,-17.0,,,,,,,,,,,,,,,0.0,0.0,0.0
26,-1.0,2022-04-30,Gloucester_Rugby,Bath_Rugby,-11.0,,,,,,,,,,,,,,,0.0,0.0,0.0
27,-1.0,2022-04-30,Leicester_Tigers,Bristol_Bears,-13.5,,,,,,,,,,,,,,,0.0,0.0,0.0
28,-1.0,2022-04-30,Worcester_Warriors,Saracens,22.0,,,,,,,,,,,,,,,0.0,0.0,0.0
29,-1.0,2022-05-01,London_Irish,Wasps,0.5,,,,,,,,,,,,,,,0.0,0.0,0.0
30,-1.0,2022-05-20,Bristol_Bears,Exeter_Chiefs,6.5,,,,,,,,,,,,,,,0.0,0.0,0.0
31,-1.0,2022-05-20,Wasps,Sale_Sharks,-2.5,,,,,,,,,,,,,,,0.0,0.0,0.0
32,-1.0,2022-05-21,Bath_Rugby,London_Irish,-2.0,,,,,,,,,,,,,,,0.0,0.0,0.0
33,-1.0,2022-05-21,Harlequins,Gloucester_Rugby,-6.0,,,,,,,,,,,,,,,0.0,0.0,0.0
34,-1.0,2022-05-21,Newcastle_Falcons,Leicester_Tigers,8.5,,,,,,,,,,,,,,,0.0,0.0,0.0
35,-1.0,2022-05-22,Saracens,Northampton_Saints,-11.5,,,,,,,,,,,,,,,0.0,0.0,0.0
36,0.0,2022-06-04,Exeter_Chiefs,Harlequins,-2.0,,,,,47.0,38.0,3.0,9.0,,,4.0,6.0,0.0,1.0,-1.0,6.0,-2.0
37,0.0,2022-06-04,Gloucester_Rugby,Saracens,-8.0,,,,,54.0,7.0,10.0,6.0,,,5.0,9.0,0.0,1.0,-1.0,-4.0,-4.0
38,0.0,2022-06-04,Leicester_Tigers,Wasps,-9.5,,,,,20.0,10.0,7.0,3.0,,,6.0,11.0,0.0,0.0,0.0,-4.0,-5.0
39,0.0,2022-06-04,Northampton_Saints,Newcastle_Falcons,-20.0,,,,,65.0,26.0,5.0,4.0,,,14.0,7.0,1.0,3.0,-2.0,-1.0,7.0
40,0.0,2022-06-04,Sale_Sharks,Bristol_Bears,-10.5,,,,,42.0,19.0,8.0,5.0,,,14.0,16.0,0.0,0.0,0.0,-3.0,-2.0
41,0.0,2022-06-04,Worcester_Warriors,Bath_Rugby,0.0,,,,,43.0,27.0,4.0,5.0,,,13.0,10.0,1.0,1.0,0.0,1.0,3.0
42,0.0,2022-06-11,Saracens,Harlequins,-7.0,,,,,34.0,17.0,2.0,3.0,,,12.0,11.0,3.0,1.0,2.0,1.0,1.0
43,0.0,2022-06-11,Leicester_Tigers,Northampton_Saints,-10.0,,,,,27.0,14.0,7.0,6.0,,,10.0,12.0,1.0,1.0,0.0,-1.0,-2.0
44,0.0,2022-06-18,Leicester_Tigers,Saracens,4.5,,,,,15.0,12.0,,,,,,,,,0.0,0.0,0.0
45,1.0,2022-09-09,Bristol_Bears,Bath_Rugby,-10.5,-7.5,-8.5,-8.5,,31.0,29.0,16.0,10.0,5.0,2.0,12.0,9.0,1.0,1.0,0.0,-6.0,3.0
46,1.0,2022-09-09,Sale_Sharks,Northampton_Saints,-7.5,-7.5,-7.5,-7.5,,29.0,22.0,14.0,18.0,10.0,9.0,12.0,10.0,0.0,1.0,-1.0,4.0,2.0
47,1.0,2022-09-10,Exeter_Chiefs,Leicester_Tigers,1.5,-1.5,-1.5,-1.5,,24.0,20.0,13.0,13.0,4.0,3.0,11.0,12.0,1.0,1.0,0.0,0.0,-1.0
48,1.0,2022-09-10,London_Irish,Worcester_Warriors,-15.5,-4.5,-4.5,-4.5,,45.0,14.0,20.0,10.0,8.0,4.0,4.0,15.0,0.0,0.0,0.0,-10.0,-11.0
49,1.0,2022-09-10,Newcastle_Falcons,Harlequins,7.5,5.5,6.5,6.5,,31.0,40.0,10.0,13.0,2.0,4.0,15.0,8.0,0.0,0.0,0.0,3.0,7.0
50,1.0,2022-09-11,Gloucester_Rugby,Wasps,-7.5,-8.5,-8.5,-8.5,,27.0,21.0,12.0,11.0,2.0,4.0,8.0,15.0,0.0,2.0,-2.0,-1.0,-7.0
51,2.0,2022-09-16,Northampton_Saints,London_Irish,-6.5,-7.5,-6.5,-6.5,,38.0,22.0,16.0,9.0,8.0,9.0,11.0,16.0,1.0,3.0,-2.0,-7.0,-5.0
52,2.0,2022-09-17,Bath_Rugby,Sale_Sharks,3.5,2.5,2.5,2.5,,20.0,37.0,,,,,,,,,0.0,0.0,0.0
53,2.0,2022-09-17,Harlequins,Saracens,5.5,-1.5,-1.5,-1.5,,27.0,30.0,11.0,13.0,6.0,17.0,9.0,12.0,0.0,0.0,0.0,2.0,-3.0
54,2.0,2022-09-17,Leicester_Tigers,Newcastle_Falcons,-17.5,-17.5,-17.5,-17.5,,36.0,21.0,14.0,11.0,11.0,3.0,11.0,8.0,0.0,0.0,0.0,-3.0,3.0
55,2.0,2022-09-17,Wasps,Bristol_Bears,-3.5,-2.5,-2.5,-2.5,,8.0,23.0,25.0,7.0,10.0,5.0,9.0,8.0,0.0,0.0,0.0,-18.0,1.0
56,2.0,2022-09-18,Worcester_Warriors,Exeter_Chiefs,16.5,16.5,,,,21.0,36.0,11.0,9.0,5.0,6.0,15.0,13.0,1.0,0.0,1.0,-2.0,2.0
57,3.0,2022-09-23,Bath_Rugby,Wasps,-1.5,-0.5,-1.5,-2.5,-1.5,31.0,39.0,7.0,7.0,5.0,5.0,11.0,14.0,1.0,1.0,0.0,0.0,-3.0
58,3.0,2022-09-24,Bristol_Bears,London_Irish,-9.5,-7.5,-8.5,-6.5,-8.5,40.0,36.0,13.0,12.0,1.0,4.0,10.0,8.0,0.0,1.0,-1.0,-1.0,2.0
59,3.0,2022-09-24,Northampton_Saints,Leicester_Tigers,-1.5,1.5,2.5,2.5,1.5,21.0,41.0,14.0,11.0,8.0,8.0,15.0,2.0,3.0,0.0,3.0,-3.0,13.0
60,3.0,2022-09-24,Saracens,Gloucester_Rugby,-11.5,-8.5,-8.5,-8.5,-10.5,41.0,39.0,12.0,11.0,6.0,3.0,12.0,11.0,0.0,0.0,0.0,-1.0,1.0
61,3.0,2022-09-24,Worcester_Warriors,Newcastle_Falcons,-2.5,-2.5,,,-2.5,39.0,5.0,8.0,11.0,8.0,2.0,12.0,17.0,0.0,1.0,-1.0,3.0,-5.0
62,3.0,2022-09-25,Exeter_Chiefs,Harlequins,-7.5,-3.5,-4.5,-4.5,-7.5,43.0,42.0,11.0,11.0,11.0,14.0,14.0,6.0,1.0,0.0,1.0,0.0,8.0
63,4.0,2022-09-30,Newcastle_Falcons,Bristol_Bears,4.5,6.5,4.5,4.5,,30.0,15.0,12.0,15.0,4.0,5.0,13.0,12.0,2.0,1.0,1.0,3.0,1.0
64,4.0,2022-10-01,London_Irish,Bath_Rugby,-9.5,-7.5,-8.5,-8.5,,47.0,38.0,10.0,8.0,5.0,4.0,11.0,11.0,2.0,1.0,1.0,-2.0,0.0
65,4.0,2022-10-01,Sale_Sharks,Exeter_Chiefs,-2.5,-3.5,-2.5,-2.5,,28.0,20.0,9.0,15.0,4.0,5.0,13.0,12.0,0.0,0.0,0.0,6.0,1.0
66,4.0,2022-10-01,Saracens,Leicester_Tigers,-6.5,-6.5,-7.5,-7.5,,51.0,18.0,12.0,10.0,11.0,3.0,14.0,13.0,0.0,0.0,0.0,-2.0,1.0
67,4.0,2022-10-02,Harlequins,Northampton_Saints,-5.5,-7.5,-7.5,-6.5,,35.0,29.0,10.0,20.0,3.0,8.0,13.0,9.0,0.0,1.0,-1.0,10.0,4.0
68,5.0,2022-10-07,Bristol_Bears,Exeter_Chiefs,1.5,-1.5,-2.5,1.5,,14.0,50.0,12.0,9.0,6.0,5.0,11.0,11.0,2.0,0.0,2.0,-3.0,0.0
69,5.0,2022-10-08,Bath_Rugby,Gloucester_Rugby,8.5,6.0,7.5,8.5,,17.0,21.0,11.0,14.0,2.0,3.0,9.0,11.0,1.0,3.0,-2.0,3.0,-2.0
70,5.0,2022-10-08,Leicester_Tigers,Sale_Sharks,-7.5,-5.5,-7.5,-7.5,,16.0,26.0,11.0,11.0,2.0,6.0,9.0,13.0,0.0,0.0,0.0,0.0,-4.0
71,5.0,2022-10-09,Newcastle_Falcons,Saracens,10.5,7.5,8.5,10.5,,14.0,34.0,19.0,15.0,4.0,6.0,11.0,11.0,0.0,1.0,-1.0,-4.0,0.0
72,5.0,2022-10-08,Wasps,Northampton_Saints,-2.5,-0.5,-1.5,-2.5,,36.0,40.0,11.0,10.0,5.0,11.0,12.0,17.0,1.0,0.0,1.0,-1.0,-5.0
73,6.0,2022-10-14,Sale_Sharks,London_Irish,-10.5,-9.5,-10.5,,,37.0,14.0,9.0,17.0,2.0,1.0,10.0,14.0,0.0,0.0,0.0,8.0,-4.0
74,6.0,2022-10-15,Gloucester_Rugby,Bristol_Bears,-9.5,-7.5,-6.5,,,31.0,28.0,15.0,22.0,10.0,17.0,5.0,8.0,0.0,0.0,0.0,7.0,-3.0
75,6.0,2022-10-15,Northampton_Saints,Newcastle_Falcons,-18.5,-14.5,-14.5,,,32.0,31.0,12.0,13.0,10.0,6.0,11.0,18.0,1.0,2.0,-1.0,1.0,-7.0
76,6.0,2022-10-15,Saracens,Bath_Rugby,-23.5,-19.5,-19.5,,,37.0,31.0,21.0,15.0,10.0,9.0,5.0,14.0,0.0,1.0,-1.0,-6.0,-9.0
77,6.0,2022-10-16,Harlequins,Leicester_Tigers,-3.0,-3.5,-3.5,,,19.0,27.0,16.0,10.0,10.0,8.0,14.0,11.0,0.0,0.0,0.0,-6.0,3.0
78,7.0,2022-10-21,London_Irish,Gloucester_Rugby,-1.5,1.5,,,,21.0,22.0,11.0,6.0,1.0,4.0,12.0,14.0,1.0,0.0,1.0,-5.0,-2.0
79,7.0,2022-10-22,Bath_Rugby,Northampton_Saints,4.5,3.5,,,,27.0,14.0,,,,,,,,,0.0,0.0,0.0
80,7.0,2022-10-22,Exeter_Chiefs,Saracens,-1.5,-1.5,,,,20.0,22.0,18.0,8.0,5.0,3.0,15.0,12.0,1.0,2.0,-1.0,-10.0,3.0
81,7.0,2022-10-23,Sale_Sharks,Harlequins,-9.5,-9.5,,,,13.0,29.0,17.0,7.0,3.0,5.0,15.0,11.0,0.0,0.0,0.0,-10.0,4.0
